codeType;txtName;codeLgt;txtDescrMarking;geoLat;geoLong;valElev;valGeoAccuracy;valHgt;codeHgtAccuracy;uomDistVer;valRadius;valRadiusAccuracy;uomRadius;codeGroupId;txtGroupName;locGroupMemberId;locLinkedToGroupMemberId;codeLinkType;datetimeValidWef;datetimeValidTil;txtRmk;source;defaultHeightFlag;codeMarking
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8180555555556;17.0455555555556;305;0;186;0;M;0;0;M;44;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8147222222222;17.04;307;0;186;0;M;0;0;M;45;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8119444444444;17.0358333333333;306;0;186;0;M;0;0;M;46;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8125;17.0288888888889;304;0;186;0;M;0;0;M;47;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8094444444444;17.0244444444444;305;0;186;0;M;0;0;M;48;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8052777777778;17.0286111111111;303;0;186;0;M;0;0;M;49;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8086111111111;17.0308333333333;304;0;186;0;M;0;0;M;50;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8138888888889;17.0461111111111;306;0;186;0;M;0;0;M;51;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8144444444444;17.0519444444444;307;0;186;0;M;0;0;M;52;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8166666666667;17.0591666666667;305;0;186;0;M;0;0;M;53;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8130555555556;17.0577777777778;304;0;186;0;M;0;0;M;54;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8097222222222;17.0511111111111;304;0;186;0;M;0;0;M;55;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8072222222222;17.0466666666667;304;0;186;0;M;0;0;M;56;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8075;17.0388888888889;303;0;186;0;M;0;0;M;57;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8047222222222;17.0338888888889;304;0;186;0;M;0;0;M;58;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8005555555556;17.0341666666667;304;0;186;0;M;0;0;M;59;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8019444444444;17.0397222222222;304;0;186;0;M;0;0;M;60;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8027777777778;17.0469444444444;305;0;186;0;M;0;0;M;61;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8077777777778;17.0586111111111;303;0;186;0;M;0;0;M;62;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8111111111111;17.0652777777778;304;0;186;0;M;0;0;M;63;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8091666666667;17.0711111111111;305;0;186;0;M;0;0;M;64;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
