codeType;txtName;codeLgt;txtDescrMarking;geoLat;geoLong;valElev;valElevAccuracy;valHgt;codeHgtAccuracy;uomDistVer;valRadius;valRadiusAccuracy;uomRadius;codeGroupId;txtGroupName;locGroupMemberId;locLinkedToGroupMemberId;codeLinkType;datetimeValidWef;datetimeValidTil;txtRmk;source;defaultHeightFlag;codeMarking
WINDTURBINE; Mahlberg-Orschweier;Y;;48.2669444444444;7.87583333333333;1946;0;394;0;FT;0;0;FT;76;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Hüfingen-Fürstenberg;Y;;47.8891666666667;8.58305555555556;3416;0;422;0;FT;0;0;FT;77;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Freiamt;Y;;48.1738888888889;7.96222222222222;2746;0;394;0;FT;0;0;FT;78;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Böhmenkirch;Y;;48.6975;9.94805555555556;2691;0;394;0;FT;0;0;FT;79;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Wertheim-Höhefeld;Y;;49.7316666666667;9.60916666666667;1512;0;394;0;FT;0;0;FT;80;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Amstetten-Schalkstetten;Y;;48.6269444444444;9.92222222222222;2597;0;365;0;FT;0;0;FT;81;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Freiburg;Y;;48.0288888888889;7.85555555555556;1124;0;350;0;FT;0;0;FT;82;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Freiamt;Y;;48.1969444444444;7.93972222222222;2343;0;394;0;FT;0;0;FT;83;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Fischerbach/Brandenkopf;Y;;48.3391666666667;8.14861111111111;3316;0;327;0;FT;0;0;FT;84;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Geislingen/Aufhausen;Y;;48.5788888888889;9.75;2953;0;493;0;FT;0;0;FT;85;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Gerstetten-Gussenstadt;Y;;48.6530555555556;9.93777777777778;2614;0;406;0;FT;0;0;FT;86;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Amstetten-Schalkstetten;Y;;48.6263888888889;9.92694444444444;2586;0;365;0;FT;0;0;FT;87;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Amstetten-Dorf;Y;;48.5683333333333;9.83888888888889;2635;0;371;0;FT;0;0;FT;88;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Flourn-Winzeln;Y;;48.3016666666667;8.50694444444444;2663;0;406;0;FT;0;0;FT;89;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Weikersheim/Neubronn;Y;;49.4786111111111;9.97194444444444;1816;0;439;0;FT;0;0;FT;90;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Dornhan;Y;;48.3638888888889;8.55027777777778;2693;0;485;0;FT;0;0;FT;91;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Tennenbronn;Y;;48.1877777777778;8.30611111111111;3359;0;437;0;FT;0;0;FT;92;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Buchen-Hettingen/Segerland;Y;;49.5297222222222;9.37222222222222;1857;0;406;0;FT;0;0;FT;93;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Kippenheim/Schmieheim;Y;;48.2705555555556;7.89194444444444;2066;0;422;0;FT;0;0;FT;94;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Freiburg/Ebnet, Gundelfingen;Y;;48.0122222222222;7.90361111111111;2416;0;437;0;FT;0;0;FT;95;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Feldberg, "am Höchsten";Y;;47.8727777777778;8.00555555555556;5129;0;270;0;FT;0;0;FT;96;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Schonach;Y;;48.1372222222222;8.17638888888889;3729;0;422;0;FT;0;0;FT;97;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Freiburg;Y;;47.9169444444444;7.87722222222222;3586;0;437;0;FT;0;0;FT;98;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Schonach;Y;;48.1511111111111;8.19694444444444;3695;0;443;0;FT;0;0;FT;99;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Bad Peterstal/Bad Griesbach;Y;;48.4769444444444;8.26972222222222;3527;0;394;0;FT;0;0;FT;100;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Hardheim-Erfeld;Y;;49.555;9.51527777777778;1678;0;389;0;FT;0;0;FT;101;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Tauberbischofsheim-Dittwar;Y;;49.5722222222222;9.63472222222222;1585;0;437;0;FT;0;0;FT;102;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Ingelfingen/Stachenhausen;Y;;49.3433333333333;9.69972222222222;1843;0;455;0;FT;0;0;FT;103;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Fluorn-Winzeln;Y;;48.3038888888889;8.505;2659;0;411;0;FT;0;0;FT;104;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Gütenbach/Kaiserebene;Y;;48.0480555555556;8.12527777777778;3606;0;328;0;FT;0;0;FT;105;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Bopfingen/Unterriffingen;Y;;48.8363888888889;10.3116666666667;2557;0;389;0;FT;0;0;FT;106;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Grossrinderfeld/Gerchsheim;Y;;49.7088888888889;9.76694444444444;1569;0;388;0;FT;0;0;FT;107;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Tennenbronn;Y;;48.1811111111111;8.2975;3399;0;455;0;FT;0;0;FT;108;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Pülfringen, Erfeld;Y;;49.5580555555556;9.515;1661;0;365;0;FT;0;0;FT;109;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Ulm-Jungingen;Y;;48.4322222222222;9.9825;2305;0;380;0;FT;0;0;FT;110;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Rosenberg/Hirschlanden;Y;;49.46;9.50305555555556;1687;0;463;0;FT;0;0;FT;111;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Boxberg-Uiffingen;Y;;49.5116666666667;9.57222222222222;1759;0;493;0;FT;0;0;FT;112;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Freiamt;Y;;48.1622222222222;7.955;2572;0;439;0;FT;0;0;FT;113;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Schrozberg-Lindlein;Y;;49.3105555555556;10.0013888888889;2102;0;492;0;FT;0;0;FT;114;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Eschach-Ruppertshofen;Y;;48.8836111111111;9.83555555555556;2167;0;460;0;FT;0;0;FT;115;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Creglingen/Niederrimbach;Y;;49.4802777777778;9.9775;1816;0;439;0;FT;0;0;FT;116;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Tennenbronn;Y;;48.1719444444444;8.36777777777778;3255;0;493;0;FT;0;0;FT;117;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Lahr und Seelbach;Y;;48.2980555555556;7.89888888888889;2106;0;679;0;FT;0;0;FT;118;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Froehnd;Y;;47.7647222222222;7.85472222222222;3711;0;398;0;FT;0;0;FT;119;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Crailsheim;Y;;49.1183333333333;10.1413888888889;2200;0;455;0;FT;0;0;FT;120;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; St. Peter/Schönhöfe;Y;;48.0566666666667;8.0675;4076;0;610;0;FT;0;0;FT;121;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Mulfingen/Hollenbach;Y;;49.4061111111111;9.79944444444445;1775;0;463;0;FT;0;0;FT;122;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Creglingen/Frauental;Y;;49.5094444444444;10.0908333333333;1652;0;455;0;FT;0;0;FT;123;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Hornberg/Reichenbach;Y;;48.2344444444444;8.25694444444444;3174;0;447;0;FT;0;0;FT;124;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Stödtlen;Y;;48.9844444444444;10.2963888888889;2276;0;480;0;FT;0;0;FT;125;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Aalen/Waldhausen;Y;;48.8369444444444;10.2111111111111;2641;0;480;0;FT;0;0;FT;126;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Ilshofen/Ruppertshofen;Y;;49.1930555555556;9.895;1956;0;455;0;FT;0;0;FT;127;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Schonach;Y;;48.1291666666667;8.19777777777778;3731;0;437;0;FT;0;0;FT;128;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Dornstadt, Blaustein;Y;;48.4744444444444;9.86638888888889;2602;0;491;0;FT;0;0;FT;129;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Simmersfeld/Seewald;Y;;48.6191666666667;8.46277777777778;3339;0;558;0;FT;0;0;FT;130;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Freudenberg/Rauenberg;Y;;49.7455555555556;9.35888888888889;1907;0;463;0;FT;0;0;FT;131;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Essingen/Lauterburg;Y;;48.7719444444444;10.0027777777778;2718;0;480;0;FT;0;0;FT;132;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Frankenhardt/Honhardt;Y;;49.0608333333333;10.0613888888889;1915;0;416;0;FT;0;0;FT;133;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Ilshofen/Ruppertshofen;Y;;49.1830555555556;9.90222222222222;1904;0;415;0;FT;0;0;FT;134;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Werbach/Wenkheim;Y;;49.7144444444444;9.68638888888889;1505;0;442;0;FT;0;0;FT;135;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Neresheim/Dorfmerkingen;Y;;48.7961111111111;10.3505555555556;2494;0;480;0;FT;0;0;FT;136;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Waldenburg;Y;;49.1847222222222;9.66555555555556;2186;0;493;0;FT;0;0;FT;137;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Langenau/Neenstetten;Y;;48.5330555555556;10.0080555555556;2400;0;480;0;FT;0;0;FT;138;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Seckach-Großeicholzheim;Y;;49.4547222222222;9.27194444444445;1729;0;479;0;FT;0;0;FT;139;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Baden-Baden;N;;48.7527777777778;8.20222222222222;2002;0;279;0;FT;0;0;FT;140;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Hornberg/Reichenbach;Y;;48.2388888888889;8.24722222222222;3260;0;457;0;FT;0;0;FT;141;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Kirchberg/Lendsiedel;Y;;49.185;9.95416666666667;1925;0;493;0;FT;0;0;FT;142;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Bad Rippoldsau-Schapbach;Y;;48.4005555555556;8.28611111111111;3324;0;493;0;FT;0;0;FT;143;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Steinheim-Gnannenweiler;Y;;48.6936111111111;9.99888888888889;2692;0;461;0;FT;0;0;FT;144;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Berghülen;Y;;48.4458333333333;9.74638888888889;2775;0;458;0;FT;0;0;FT;145;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Filderstadt/Plattenhardt;Y;;48.6347222222222;9.20638888888889;1676;0;134;0;FT;0;0;FT;146;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Neuhausen;Y;;48.6644444444444;9.27027777777778;1536;0;184;0;FT;0;0;FT;147;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Mudau/Steinbach;Y;;49.5580555555556;9.25472222222222;2013;0;480;0;FT;0;0;FT;148;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; St. Peter;Y;;48.0561111111111;8.06722222222222;3781;0;489;0;FT;0;0;FT;149;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Weikersheim/Neubronn;Y;;49.4805555555556;9.96694444444444;1928;0;605;0;FT;0;0;FT;150;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Karlsruhe;Y;;49.0213888888889;8.33166666666667;886;0;407;0;FT;0;0;FT;151;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Ravenstein-Erlenbach;Y;;49.3916666666667;9.53694444444444;1583;0;480;0;FT;0;0;FT;152;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
BUILDING; Walzbachtal;Y;;49.0177777777778;8.61444444444444;983;0;357;0;FT;0;0;FT;153;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
